Group,Image1,Image2,Image3,Image4,AudioFile,Adjective,TargetLocation,Label,AdjTime,NounTime,NPTime,AudioDur
A,flute.png,baker.png,notebook.png,dishwasher.png,shortbaker.mp3,short,2,filler,1034,1821,1034,2283
A,microwave.png,lighter.png,tornado.png,bucket.png,bigtornado.mp3,big,3,filler,1199,1656,1199,2344
A,lighthouse.png,iguana.png,protractor.png,mop.png,shortmop.mp3,short,4,filler,1089,1798,1089,2327
A,muffin.png,newspaper.png,haystack.png,walker.png,shortmuffin.mp3,short,1,filler,949,1532,949,2196
A,pinata.png,net.png,rat.png,snowcone.png,shortnet.mp3,short,2,filler,949,1634,949,2108
A,plant.png,sheep.png,rake.png,sandcastle.png,shortrake.mp3,short,3,filler,1024,1713,1024,2169
A,washingmachine.png,tractor.png,spaghetti.png,snake.png,shortsnake.mp3,short,4,filler,887,1407,887,1940
A,clown.png,television.png,yarn.png,window.png,tallclown.mp3,tall,1,filler,1221,1860,1221,2425
A,mirror.png,bone.png,frame.png,gasoline.png,smallbone.mp3,small,2,filler,1139,2065,1139,2385
A,cookie.png,doll.png,string.png,feather.png,skinnystring.mp3,skinny,3,filler,1028,1631,1028,2267
A,floss.png,binder.png,smoothie.png,glasses.png,thinglasses.mp3,thin,4,filler,998,1690,998,2459
A,shoe.png,banana.png,bible.png,cane.png,thickshoe.mp3,thick,1,filler,1042,1594,1042,2134
A,strawberry.png,can.png,buffalo.png,canteloupe.png,skinnycan.mp3,skinny,2,filler,1031,1823,1031,2301
A,cereal.png,jacket.png,fox.png,asparagus.png,skinnyfox.mp3,skinny,3,filler,1066,1729,1066,2480
A,tricycle.png,chips.png,stocking.png,waterbottle.png,shortwaterbottle.mp3,short,4,filler,1016,1686,1016,2470
A,sponge.png,car.png,starfish.png,coffeebean.png,bigsponge.mp3,big,1,practice,1351,1820,1351,2576
A,tent.png,milkshake.png,belt.png,stethoscope.png,tallmilkshake.mp3,tall,2,practice,1251,2038,1251,2748
A,smalllion.png,biglion.png,smallhand.png,toilet.png,smallhand.mp3,small,3,practice,1007,1751,1007,2328
